"Evt_lab","Start","End","TotalRain","Max_Intensity","Dur_hr","PreDry_Dur_hr"
453,1952-01-23 22:00:00,1952-01-24 02:00:00,1.01,0.51,5,13
455,1952-01-28 12:00:00,1952-01-28 22:00:00,16.26,3.81,11,105
457,1952-02-02 23:00:00,1952-02-03 03:00:00,6.09,2.54,5,120
459,1952-02-03 14:00:00,1952-02-03 14:00:00,0.25,0.25,1,10
461,1952-02-07 08:00:00,1952-02-07 11:00:00,5.34,2.54,4,89
463,1952-02-15 15:00:00,1952-02-16 19:00:00,68.55,19.05,29,195
465,1952-02-17 03:00:00,1952-02-17 03:00:00,0.25,0.25,1,7
467,1952-02-20 18:00:00,1952-02-20 20:00:00,2.53,1.52,3,86
469,1952-02-23 02:00:00,1952-02-24 02:00:00,16.23,3.05,25,53
471,1952-02-24 12:00:00,1952-02-24 14:00:00,1.27,0.51,3,9
473,1952-02-26 01:00:00,1952-02-26 20:00:00,17.52,3.05,20,34
475,1952-03-04 11:00:00,1952-03-04 12:00:00,11.69,11.18,2,158
477,1952-03-11 05:00:00,1952-03-11 07:00:00,33.52,22.35,3,160
479,1952-03-13 12:00:00,1952-03-13 14:00:00,16,9.91,3,52
481,1952-03-19 00:00:00,1952-03-19 02:00:00,2.54,1.78,3,129
483,1952-03-24 19:00:00,1952-03-25 08:00:00,24.38,10.67,14,136
485,1952-03-25 22:00:00,1952-03-26 12:00:00,7.1,2.54,15,13
487,1952-03-26 19:00:00,1952-03-27 08:00:00,4.04,2.03,14,6
489,1952-04-01 08:00:00,1952-04-01 08:00:00,0.25,0.25,1,119
491,1952-04-01 15:00:00,1952-04-01 15:00:00,2.79,2.79,1,6
493,1952-04-04 17:00:00,1952-04-04 17:00:00,0.25,0.25,1,73
495,1952-04-13 23:00:00,1952-04-13 23:00:00,0.76,0.76,1,221
497,1952-04-24 21:00:00,1952-04-24 21:00:00,0.25,0.25,1,261
499,1952-04-26 03:00:00,1952-04-26 11:00:00,18.28,4.06,9,29
501,1952-04-26 20:00:00,1952-04-26 20:00:00,6.1,6.1,1,8
503,1952-05-11 12:00:00,1952-05-11 13:00:00,7.62,6.86,2,351
505,1952-05-18 19:00:00,1952-05-18 22:00:00,51.81,43.94,4,173
507,1952-05-19 15:00:00,1952-05-19 16:00:00,11.93,11.68,2,16
509,1952-05-20 21:00:00,1952-05-20 22:00:00,0.76,0.51,2,28
511,1952-05-23 15:00:00,1952-05-23 16:00:00,30.48,21.84,2,64
513,1952-05-24 21:00:00,1952-05-24 22:00:00,0.5,0.25,2,28
515,1952-05-25 13:00:00,1952-05-25 22:00:00,47.5,25.91,10,14
517,1952-05-26 09:00:00,1952-05-26 13:00:00,0.5,0.25,5,10
519,1952-05-29 16:00:00,1952-05-29 19:00:00,34.28,30.73,4,74
521,1952-05-30 11:00:00,1952-05-30 14:00:00,54.87,18.29,4,15
523,1952-05-31 15:00:00,1952-05-31 16:00:00,0.76,0.51,2,24
525,1952-06-13 05:00:00,1952-06-13 05:00:00,2.29,2.29,1,300
527,1952-06-13 14:00:00,1952-06-13 17:00:00,38.1,23.11,4,8
529,1952-06-15 20:00:00,1952-06-15 21:00:00,3.81,2.54,2,50
531,1952-06-17 14:00:00,1952-06-17 14:00:00,2.29,2.29,1,40
533,1952-06-19 20:00:00,1952-06-19 21:00:00,37.09,36.58,2,53
535,1952-06-21 16:00:00,1952-06-21 16:00:00,0.25,0.25,1,42
537,1952-06-22 19:00:00,1952-06-22 20:00:00,17.27,16.76,2,26
539,1952-06-30 14:00:00,1952-06-30 14:00:00,7.37,7.37,1,185
541,1952-07-01 16:00:00,1952-07-01 18:00:00,6.35,3.81,3,25
543,1952-07-02 02:00:00,1952-07-02 02:00:00,0.76,0.76,1,7
545,1952-07-02 16:00:00,1952-07-03 06:00:00,13.45,3.56,15,13
547,1952-07-05 10:00:00,1952-07-05 10:00:00,0.76,0.76,1,51
549,1952-07-06 18:00:00,1952-07-07 00:00:00,3.3,1.27,7,31
